polarity,tweet_id,timestamp,query,username,tweet
4,1755709172,Sun May 10 09:49:44 PDT 2009,NO_QUERY,omgnadineee,Going to Friendly's 
4,1963693716,Fri May 29 13:06:24 PDT 2009,NO_QUERY,FunFitFamily,@WeFitFamilies Does a baseball tournament count?  
4,1833937915,Mon May 18 01:00:38 PDT 2009,NO_QUERY,xxkayla1521xx,"Had a long, fun day, but now I'm passing out, peace "
0,1835918558,Mon May 18 07:00:57 PDT 2009,NO_QUERY,awskerkatzin,"ready for another weekend... No, wait it's just monday "
0,2054003908,Sat Jun 06 06:18:23 PDT 2009,NO_QUERY,fielliabelle,Not going to Bandung and Singapore 
4,2052693864,Sat Jun 06 01:39:34 PDT 2009,NO_QUERY,goodygoody4me,"@pencilportraits very lovely, i do particularly admire your detail to the eyes, most important aspect in my opinion "
0,1681131424,Sat May 02 13:17:12 PDT 2009,NO_QUERY,Racheleb22,Back from sleepover! Fun night! Lots of homework to do! 
0,1983094433,Sun May 31 12:29:40 PDT 2009,NO_QUERY,MrCorvette,Why can no one score a good score on my facebook quiz? 
4,1882079841,Fri May 22 06:11:23 PDT 2009,NO_QUERY,ugottaluvjones,@myyapmore 
0,2000672651,Mon Jun 01 22:40:04 PDT 2009,NO_QUERY,LMarle,"@RikRay OW! Glad your shoulder is better. Must have taken a long time to heal, though. "
4,2014359222,Wed Jun 03 01:16:05 PDT 2009,NO_QUERY,katezp,@SirLP yes it is wrong to but it! soooo wrong !! actually get it because then you have to get the new laptop as well 
0,2267141252,Sun Jun 21 09:41:32 PDT 2009,NO_QUERY,jennrach,gocco supplies are disappearing  
0,1835448518,Mon May 18 06:00:59 PDT 2009,NO_QUERY,laracoft,"Daytrack:  For Today, Netherworld Dancing Toys.  I'm so homesick  "
0,2254424531,Sat Jun 20 09:43:42 PDT 2009,NO_QUERY,xxlindaa,working from 12:30 to 9:30 
4,1751574154,Sat May 09 19:46:08 PDT 2009,NO_QUERY,funtrap,"10pm tonight, International Space Station will by over head, through most of Texas at least "
4,1977144443,Sat May 30 20:12:39 PDT 2009,NO_QUERY,SteveBelancik,@heythereimtori Another bad hairbrush day! 
0,1827548049,Sun May 17 10:56:45 PDT 2009,NO_QUERY,xXxaimeejoxXx,Missing you soo much grandad 
4,2063259274,Sun Jun 07 01:57:25 PDT 2009,NO_QUERY,Applecored,@TessMorris  hehe  cute 
0,2064341002,Sun Jun 07 05:59:47 PDT 2009,NO_QUERY,KatieA89123,"@officialpeta I agree,the horses being slaughtered is awful!  And animals all over the world,for that matter! x"
0,2070041843,Sun Jun 07 16:59:51 PDT 2009,NO_QUERY,omgwtfannie,"i feel so bad about the booing, though  POOR BB. i want to give him a big hug."
0,2222791275,Thu Jun 18 07:27:00 PDT 2009,NO_QUERY,darlingt,@bluebonnet21 I haven't seen it yet. 
4,2066993059,Sun Jun 07 11:33:07 PDT 2009,NO_QUERY,vallih,"@MissJess just wait until you're my age, closing in on turning 30 next year. just thinkin about it freaks me out!. ew. "
0,2223238351,Thu Jun 18 08:01:31 PDT 2009,NO_QUERY,KThug401,I woke up n my arms n chest r sore!! I knew I shoulda tooken my protein shake yesturday  smh gotta live with it now
4,2014339818,Wed Jun 03 01:12:15 PDT 2009,NO_QUERY,DaveGlithero,@shenrick Good point. Use your SatNav - POI Food 
0,2190496937,Tue Jun 16 02:54:04 PDT 2009,NO_QUERY,maerk,@coxy Big fail  with just one user listening my entire connection was seizing up. UK's upload speed sucks.
4,2016141483,Wed Jun 03 06:14:45 PDT 2009,NO_QUERY,Haengbok,i got 123 out of 120 on my World Cultures final! 
4,1824466448,Sun May 17 01:30:22 PDT 2009,NO_QUERY,quinland,promising to follow the next few tweople who follow me. 
4,1557044888,Sun Apr 19 01:42:18 PDT 2009,NO_QUERY,super_spock,"@jzellis i saw yer misadventures here on twitter, are you... are you lookin to get there? "
4,2186130720,Mon Jun 15 18:24:01 PDT 2009,NO_QUERY,RLaShaMiles,Loves Army Wives! 
0,1771198594,Mon May 11 23:31:16 PDT 2009,NO_QUERY,salmonpuff,@hikariuk :O noooooooooo don't say that  I dont wanna die 
0,1554097696,Sat Apr 18 16:03:41 PDT 2009,NO_QUERY,NikiaOn1035,"@uniquelymo I got the text, but the pic didn't go thru. "
0,1972019220,Sat May 30 08:23:28 PDT 2009,NO_QUERY,xoMajdaxo,@Jonasbrothers that's nice your next chat is when I'm in Washington D.C 
